cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",cnt_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
rise,bread,,M-E+,,,False,False,False,0.0773195847868919,0.0,,0.157377436757088,0.0163371171802282,15.0,0.0,,,,,,,,0.956145062734177,4,5,上升,面包,0.65922374,0.8496332,0.7544285,0.22844301,0.3416906,0.2850668,,
rough,surface,,M+E+,粗糙,表面,False,False,False,0.0196078363806009,0.0090384958311915,0.029411764815449715,0.189590737223625,0.0596486516296864,4.0,0.921926558017731,3.0,0.212884083390236,0.459776401519775,0.652546525001526,0.470937848091126,"[{'zh': '粗', 'rcs': 0.2246107459068298, 'w': 0.347453464119419}]","[{'zh': '地面', 'rcs': 0.3728223741054535, 'w': 0.27485648871479795}, {'zh': '水面', 'rcs': 0.3617261946201324, 'w': 0.254205665778606}]",1.11992452513612,5,7,粗糙,表面,0.7057622,0.78162175,0.743692,0.39005485,0.28335783,0.33670634,y,global uniqueness
rough,thin,No replacement,M+E-,粗,细,False,True,True,0.0,0.0344581939280033,0.198347106575966,0.027040671557188,0.0891218185424805,0.0,4.1694416999816895,24.0,0.22461074590683,0.299919337034225,0.347453474998474,0.5,"[{'zh': '粗糙', 'rcs': 0.2128840833902359, 'w': 0.6525465358805811}]","[{'zh': '薄', 'rcs': 0.4066925942897796, 'w': 0.5}]",0.588714216803083,5,4,粗糙,薄,0.7057622,0.75006765,0.7279149,0.39005485,0.49417633,0.4421156,,
rough,tough,,M-E+,,,False,False,False,0.112745091319084,0.0,,0.212701827287674,0.018467066809535,23.0,0.0,,,,,,,,1.33352818587239,5,5,粗糙,难,0.7057622,0.5257976,0.6157799,0.39005485,0.013533704,0.20179428,,
sack,pack,,M+E+,袋子,装,False,False,False,0.0156250055879354,0.0280373822897673,0.0280373822897673,0.260826230049133,0.393900007009506,3.0,3.0,3.0,0.228073462843895,0.302848279476166,1.0,1.0,[],[],1.1529667055217,4,4,袋子,装,0.7359671,0.6118962,0.67393166,0.12801418,0.038814045,0.08341411,,
sack,plastic,,M+E-,袋子,塑料袋,False,False,False,0.0,0.0510045364499092,0.112149529159069,0.0633575469255447,0.227759063243866,0.0,5.45748519897461,12.0,0.228073462843895,0.578488409519196,1.0,0.393612712621689,[],"[{'zh': '塑料', 'rcs': 0.5795463919639587, 'w': 0.6063872741703015}]",1.4701775964521,4,7,袋子,塑料,0.7359671,0.79986227,0.76791465,0.12801418,0.16726188,0.14763802,,
sack,potato,,M-E+,,,False,False,False,0.078125,0.0,,0.193741470575333,0.0398500002920628,15.0,0.0,,,,,,,,0.973128616350587,4,6,袋子,马铃薯,0.7359671,0.8585923,0.7972797,0.12801418,0.2965405,0.21227734,,
salute,military,,M+E+,敬礼,军人,False,False,False,0.171123042702675,0.0288693010807037,0.227272734045982,0.289822995662689,0.0589018128812313,32.0,3.17562317848206,25.0,0.354029655456543,0.310607731342316,0.544654607772827,0.233221054077148,"[{'zh': '致敬', 'rcs': 0.3040205538272857, 'w': 0.26999046499469515}, {'zh': '致意', 'rcs': 0.272709310054779, 'w': 0.1853549058641541}]","[{'zh': '军事', 'rcs': 0.4116553962230682, 'w': 0.5755468789631837}, {'zh': '军队', 'rcs': 0.4304167330265045, 'w': 0.19123206161084616}]",1.42283755458156,6,8,敬礼,军事,0.7048079,0.76135147,0.7330797,0.5883543,0.24250275,0.41542852,,
salute,martyr,,M+E-,致敬,烈士,False,False,False,0.0,0.0189466997981071,0.070175439119339,0.055254802107811,0.221020847558975,0.0,2.15992379188538,8.0,0.304020553827286,0.259058058261871,0.269990473985672,1.0,"[{'zh': '敬礼', 'rcs': 0.3540296554565429, 'w': 0.5446546291411507}, {'zh': '致意', 'rcs': 0.272709310054779, 'w': 0.1853549058641541}]",[],1.43170067620393,6,6,敬礼,烈士,0.7048079,0.57752943,0.64116865,0.5883543,0.19068871,0.3895215,,
salute,parade,,M-E+,,,False,False,False,0.0320855565369129,0.0,,0.196564242243767,0.0168056506663561,6.0,0.0,,,,,,,,0.314963843695578,6,6,敬礼,展览,0.7048079,0.52237904,0.61359346,0.5883543,0.0044025993,0.29637843,,
