cue_en,target_en,condition,cue_zh,target_zh,cue_len,target_len,rw_en,"rw_zh, alignment weighted",str_en,"str_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_zh,route_target_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_s_zh,route_cue_other_translations,route_target_other_translations,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,cov_distance
maintain,manage,M-E+,维持,应付,8,6,0.21850146353244781,0.030825357884168625,0.016304347664117813,0.0,3.0,0.0,,,,,,,,,,0.7119041,0.64855593,0.68023,0.22747773,0.19259685,0.21003729,1.0515140694117353
maintain,repair,M-E+,维持,修理,8,6,0.15410299599170685,0.016680896282196045,0.016304347664117813,0.0,3.0,0.0,,,,,,,,,,0.7119041,0.7305017,0.7212029,0.22747773,0.2851589,0.25631833,1.364136253580627
mama,papa,M+E+,大妈,爸爸,4,4,0.48952654004096985,0.14974892139434814,0.12322274595499039,0.045209988951683044,26.0,5.78687858581543,妈妈,爸爸,0.4193300902843475,0.3902774453163147,0.2143288403749466,1.0,0.2109375,"[{'zh': '大妈', 'rcs': 0.3528442680835724, 'w': 0.7856711614554388}]",[],0.6280759,0.70735765,0.66771674,0.58103603,0.33076245,0.45589924,0.4963581334544491
mama,age,M+E-,大妈,年龄,4,3,0.06208990514278412,0.10751909762620926,0.0,0.013546054251492023,0.0,1.5713423490524292,大妈,年龄,0.3528442680835724,0.2360213696956634,0.7856711745262146,0.5,0.03448275849223137,"[{'zh': '妈妈', 'rcs': 0.4193300902843475, 'w': 0.21432883854456125}]","[{'zh': '老年', 'rcs': 0.3170669674873352, 'w': 0.5}]",0.6280759,0.672521,0.6502985,0.58103603,0.4096937,0.49536484,1.4399602285360122
mama,bear,M-E+,大妈,熊,4,4,0.1053374707698822,0.0253771785646677,0.04265403002500534,0.0,9.0,0.0,,,,,,,,,,0.6280759,0.8163629,0.7222194,0.58103603,0.2495122,0.4152741,0.630058722235469
mat,yoga,M+E+,垫子,瑜伽,3,4,0.24575869739055634,0.428600013256073,0.07857143133878708,0.03539822995662689,11.0,4.0,垫子,瑜伽,0.3063642382621765,0.4214815199375152,1.0,1.0,0.03539822995662689,[],[],0.7670764,0.7328028,0.74993956,0.11173357,0.20182763,0.1567806,0.575659108167619
mat,booty,M+E-,垫子,屁股,3,5,0.02816450037062168,0.21050000190734863,0.0,0.044247787445783615,0.0,5.0,垫子,屁股,0.3063642382621765,0.211815521121025,1.0,1.0,0.044247787445783615,[],[],0.7670764,0.62284213,0.6949593,0.11173357,0.035338357,0.073535964,1.1079488895492051
mat,bum,M+E-,垫子,屁股,3,3,0.04654395207762718,0.21050000190734863,0.0,0.044247787445783615,0.0,5.0,垫子,屁股,0.3063642382621765,0.3127879202365875,1.0,1.0,0.044247787445783615,[],[],0.7670764,0.646672,0.7068742,0.11173357,0.07852899,0.09513128,0.9896434077768315
mat,bun,M+E-,垫子,屁股,3,3,0.023319367319345474,0.21050000190734863,0.0,0.044247787445783615,0.0,5.0,垫子,屁股,0.3063642382621765,0.3701540231704712,1.0,1.0,0.044247787445783615,[],[],0.7670764,0.47695416,0.62201524,0.11173357,0.010105428,0.0609195,0.11300514334609825
mat,butt,M+E-,垫子,屁股,3,4,0.05005033686757088,0.21050000190734863,0.0,0.044247787445783615,0.0,5.0,垫子,屁股,0.3063642382621765,0.4348784983158111,1.0,1.0,0.044247787445783615,[],[],0.7670764,0.7246236,0.74584997,0.11173357,0.17101058,0.14137208,1.3864820677850922
mat,wipe,M-E+,垫子,消除,3,4,0.16858230531215668,0.019099999219179153,0.02142857201397419,0.0,3.0,0.0,,,,,,,,,,0.7670764,0.5020801,0.6345782,0.11173357,0.006646854,0.059190214,1.2497111002725245
meat,beef,M+E+,肉,牛肉,4,4,0.5472329258918762,0.6776000261306763,0.13684210181236267,0.05263157933950424,26.0,7.0,肉,牛肉,0.5685207843780518,0.6528488397598267,1.0,1.0,0.05263157933950424,[],[],0.8459676,0.85176283,0.8488652,0.49032253,0.40743673,0.44887963,0.4551550940699419
meat,red,M+E+,肉,红的,4,3,0.057252731174230576,0.0269333329051733,0.07894736528396606,0.007518797181546688,15.0,1.0,肉,红色,0.5685207843780518,0.3834229111671448,1.0,0.3333333432674408,0.02255639061331749,[],"[{'zh': '红的', 'rcs': 0.2435952574014663, 'w': 0.3333333333333333}, {'zh': '红', 'rcs': 0.3943059742450714, 'w': 0.3333333333333333}]",0.8459676,0.7974439,0.82170576,0.49032253,0.3534052,0.42186385,1.0263009794750912
meat,chicken,M+E+,肉,鸡,4,7,0.33299708366394043,0.33059999346733093,0.04736842215061188,0.011278195306658745,9.0,1.5,肉,鸡,0.5685207843780518,0.5386369824409485,1.0,0.5,0.02255639061331749,[],"[{'zh': '鸡肉', 'rcs': 0.4754184782505035, 'w': 0.5}]",0.8459676,0.8493176,0.8476426,0.49032253,0.37698808,0.43365532,1.4705397029133482
meat,pork,M+E+,肉,猪肉,4,4,0.5083767771720886,0.7171000242233276,0.02631578966975212,0.06766917556524277,5.0,9.0,肉,猪肉,0.5685207843780518,0.6244938969612122,1.0,1.0,0.06766917556524277,[],[],0.8459676,0.8564856,0.85122657,0.49032253,0.5490882,0.51970536,0.7751927933520643
meat,touch,M+E-,肉,触摸,4,5,0.017573438584804535,0.14212583005428314,0.0,0.02070513926446438,0.0,2.7537834644317627,肉,吃,0.5685207843780518,0.2017240822315216,1.0,0.30597594380378723,0.06766917556524277,[],"[{'zh': '触摸', 'rcs': 0.3498248159885406, 'w': 0.6222482817801144}, {'zh': '打', 'rcs': 0.2069639414548874, 'w': 0.07177576707765093}]",0.8459676,0.5634652,0.7047164,0.49032253,0.24174066,0.3660316,1.271884671501197
meat,market,M-E+,肉,市场,4,6,0.16029244661331177,0.03304571285843849,0.021052632480859756,0.0,4.0,0.0,,,,,,,,,,0.8459676,0.771651,0.8088093,0.49032253,0.09831905,0.2943208,0.9933660643894181
media,news,M+E+,媒体,新闻,5,4,0.370339959859848,0.17729327082633972,0.14009661972522736,0.054026469588279724,29.0,6.05096435546875,媒体,新闻,0.3585670590400696,0.4185450077056885,0.5,0.7118781805038452,0.1517857164144516,"[{'zh': '传媒', 'rcs': 0.2715575098991394, 'w': 0.5}]","[{'zh': '消息', 'rcs': 0.2309300005435943, 'w': 0.2881218429053617}]",0.7705258,0.7357612,0.75314355,0.5171616,0.16517748,0.34116954,1.1944648668859745
media,campus,M+E-,媒体,校园,5,6,0.030409127473831177,0.014911397360265255,0.0,0.008487221784889698,0.0,1.0354410409927368,传媒,大学,0.2715575098991394,0.2137802988290786,0.5,0.1479201465845108,0.1147540956735611,"[{'zh': '媒体', 'rcs': 0.3585670590400696, 'w': 0.5}]","[{'zh': '校园', 'rcs': 0.3047914206981659, 'w': 0.8520798559841679}]",0.7705258,0.68898064,0.72975326,0.5171616,0.26682115,0.39199138,1.181322401763955
media,mass,M-E+,媒体,大多数,5,4,0.05999176576733589,0.018570706248283386,0.02415458858013153,0.0,5.0,0.0,,,,,,,,,,0.7705258,0.6085891,0.68955743,0.5171616,0.17297293,0.34506726,0.5190145928736115
media,music,M-E+,媒体,音乐,5,5,0.05139186233282089,0.010657045058906078,0.019323671236634254,0.0,4.0,0.0,,,,,,,,,,0.7705258,0.8164149,0.7934704,0.5171616,0.3563554,0.43675852,1.2466904011059554
