cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
sewer,stink,,M-E+,,,FALSE,FALSE,FALSE,0.0335195474326611,0.0,,0.529727637767792,0.025000000372529,6.0,0.0,,,,,,,0.888366577023268,5,5,下水道,吵闹,0.76699734,0.36970693,0.5683521,0.21407603,0.0025999595,0.10833799,,
sharp,needle,“Sword” has no replacement,M+E+,尖,针,,,,0.02283104881644250,0.02723969891667370,,0.35614854097366300,0.09719154238700870,5.0,2.3698537349700900,0.2377199679613110,0.5263547301292420,0.3617691695690160,0.43671563267707800,"[{'zh': '锋利', 'rcs': 0.3983169496059418, 'w': 0.6382308438167505}]","[{'zh': '针头', 'rcs': 0.5342175364494324, 'w': 0.43671563189910584}, {'zh': '指针', 'rcs': 0.2426190823316574, 'w': 0.1265687362017882}]",1.173774235431940,5,6,锋利,针,0.7699418,0.7083572,0.7391495,0.57118124,0.23918825,0.40518475,y,global uniqueness
sharp,screech,,M+E-,尖,尖叫,,,,0.0,0.016633065417408900,,0.04411569610238080,0.06663788110017780,0.0,1.447076678276060,0.2377199679613110,0.3586097955703740,0.3617691695690160,1.0,"[{'zh': '锋利', 'rcs': 0.3983169496059418, 'w': 0.6382308438167505}]",[],1.2129405098033000,5,7,锋利,尖叫,0.7699418,0.6751573,0.72254956,0.57118124,0.16160055,0.36639088,y,global uniqueness
sharp,point,,M-E+,,,TRUE,FALSE,TRUE,0.0730593651533127,0.0,,0.217957317829132,0.0181804541498423,16.0,0.0,,,,,,,1.31760279554317,5,5,锋利,指向,0.7699418,0.72487867,0.74741024,0.57118124,0.10333664,0.33725893,,
sheet,pillow,,M+E+,床单,枕头,FALSE,FALSE,FALSE,0.0448430553078651,0.0496112033724785,0.0750000029802322,0.434347122907639,0.348138362169266,10.0,3.9688961505889900,0.279130756855011,0.479484736919403,0.661482691764832,1.0,"[{'zh': '纸张', 'rcs': 0.4602515995502472, 'w': 0.33851730911067296}]",[],0.489691460428502,5,6,床单,枕头,0.7659373,0.79217243,0.7790549,0.31622943,0.74965966,0.53294456,,
sheet,pen,,M+E-,纸张,笔,FALSE,FALSE,FALSE,0.0,0.0115732420235872,0.0683760717511177,0.0593973025679588,0.0946494340896606,0.0,1.35406923294067,0.460251599550247,0.259019613265991,0.338517308235168,0.5,"[{'zh': '床单', 'rcs': 0.279130756855011, 'w': 0.661482690889327}]","[{'zh': '钢笔', 'rcs': 0.2198588103055954, 'w': 0.5}]",1.05288210674792,5,3,床单,钢笔,0.7659373,0.75962746,0.7627824,0.31622943,0.7793726,0.547801,,
sheet,rain,,M-E+,,,FALSE,FALSE,FALSE,0.0313901305198669,0.0,,0.141979515552521,0.0236590318381786,7.0,0.0,,,,,,,0.916923577971598,5,4,床单,下雨,0.7659373,0.7865754,0.7762563,0.31622943,0.34192422,0.32907683,,
sink,ship,,M+E+,下沉,船,FALSE,FALSE,FALSE,0.0434782542288303,0.0249781422317028,0.0776699036359787,0.162240579724312,0.134265318512917,8.0,2.57274866104126,0.335970789194107,0.521753311157227,0.321593582630157,1.0,"[{'zh': '挖', 'rcs': 0.245032325387001, 'w': 0.3215935772131797}, {'zh': '下陷', 'rcs': 0.2833151519298553, 'w': 0.3215935772131797}, {'zh': '降低', 'rcs': 0.2159217745065689, 'w': 0.035219268360460895}]",[],0.962016157845846,4,4,挖,船,0.578077,0.8279798,0.70302844,0.12548529,0.54570097,0.33559313,,
sink,rise,No replacement,M+E-,下沉,上升,FALSE,TRUE,TRUE,0.0,0.0103571275249124,0.0388349518179894,0.0461016669869423,0.057446327060461,0.0,1.06678414344788,0.335970789194107,0.310974210500717,0.321593582630157,0.82929527759552,"[{'zh': '挖', 'rcs': 0.245032325387001, 'w': 0.3215935772131797}, {'zh': '下陷', 'rcs': 0.2833151519298553, 'w': 0.3215935772131797}, {'zh': '降低', 'rcs': 0.2159217745065689, 'w': 0.035219268360460895}]","[{'zh': '增长', 'rcs': 0.2891542613506317, 'w': 0.17070472211336812}]",0.705315723818144,4,4,挖,上升,0.578077,0.65922374,0.6186504,0.12548529,0.22844301,0.17696415,,
sink,tub,,M-E+,,,FALSE,FALSE,FALSE,0.0380434840917587,0.0,,0.526394605636597,0.0137901920825243,7.0,0.0,,,,,,,0.518048207334714,4,3,挖,盆,0.578077,0.6492201,0.61364853,0.12548529,0.09863524,0.112060264,,
site,area,,M+E+,场所,场地,FALSE,FALSE,FALSE,0.0416666716337204,0.0086171710863709,0.0359712243080139,0.23449395596981,0.0823837667703629,9.0,1.19778668880463,0.218197926878929,0.241041570901871,0.730011165142059,0.328155726194382,"[{'zh': '地点', 'rcs': 0.3332363367080688, 'w': 0.26998882409914665}]","[{'zh': '面积', 'rcs': 0.4091840088367462, 'w': 0.3281557120225794}, {'zh': '地域', 'rcs': 0.3876585662364959, 'w': 0.14713191289801802}, {'zh': '区', 'rcs': 0.4339649677276611, 'w': 0.11992787865294534}, {'zh': '地方', 'rcs': 0.3078873455524444, 'w': 0.07662878440387767}]",1.07668923005869,4,4,场所,场地,0.6207391,0.67047954,0.6456093,0.34485286,0.15819186,0.25152236,,
site,library,,M+E-,场所,图书馆,FALSE,FALSE,FALSE,0.0,0.0157556366175413,0.0215827338397503,0.0500147119164467,0.0656280070543289,0.0,2.19003343582153,0.218197926878929,0.477721035480499,0.730011165142059,1.0,"[{'zh': '地点', 'rcs': 0.3332363367080688, 'w': 0.26998882409914665}]",[],1.47589085141985,4,7,场所,图书馆,0.6207391,0.7623995,0.6915693,0.34485286,0.37063518,0.35774404,y,poor translation
site,web,,M-E+,,,FALSE,FALSE,FALSE,0.157407388091087,0.0,,0.225963428616524,0.0203301589936018,34.0,0.0,,,,,,,0.651546545920652,4,3,场所,网络,0.6207391,0.679988,0.65036356,0.34485286,0.4967448,0.42079884,,
slice,meat,No replacement,M+E+,片,肉,FALSE,TRUE,TRUE,0.0149253690615296,0.0105618275702,0.0337078645825386,0.262448221445084,0.306939601898193,3.0,0.940002679824829,0.240795686841011,0.568520784378052,0.313334226608276,1.0,"[{'zh': '锅铲', 'rcs': 0.2552796304225921, 'w': 0.6866657782216525}]",[],1.40689112834288,5,4,锅铲,肉,0.7353474,0.8459676,0.7906575,0.022902219,0.49032253,0.25661236,,
slice,snow,Both slice and snow are very good cues,M+E-,片,雪花,FALSE,TRUE,TRUE,0.0,0.0088015235960483,0.0561797767877579,0.0247987490147352,0.0220419708639383,0.0,0.783335566520691,0.240795686841011,0.350086539983749,0.313334226608276,0.5,"[{'zh': '锅铲', 'rcs': 0.2552796304225921, 'w': 0.6866657782216525}]","[{'zh': '下雪', 'rcs': 0.259146898984909, 'w': 0.5}]",1.26729669414049,5,4,锅铲,下雪,0.7353474,0.80626625,0.7708068,0.022902219,0.3016111,0.16225666,y,poor translation
slice,orange,,M-E+,,,FALSE,FALSE,FALSE,0.0497512482106686,0.0,,0.26062285900116,0.0226737018674612,10.0,0.0,,,,,,,1.03923206676256,5,6,锅铲,橙汁,0.7353474,0.818682,0.77701473,0.022902219,0.47633475,0.24961849,,
